X,Y,FID,objectid,type,feature_gp,feature_id,asset_id,site_code,site_name,plot_no,location,prim_meas,unit,xy_accurac,sym_code,sym_rot,modified,sculpture,artist,installed,photo_link,label,GlobalID
174.7384073,-41.2846185,95,0,P-Mon.&Memorial-Plaque,PMME, ,1425602,P2326,Old Karori Community Centre,7000126,A Plaque located in the seating area near Karori Rd entrance.,1,No., ,0,0,, , , , , ,{A545E69E-A1C6-4EC4-A343-D2835BA88C26}
174.7728451,-41.29700371,96,0,P-Sculpture,PSCU, ,1425460,R2204,Karo Drive,7000100,"Subject to Change Sculpture (2009) Karo Drive: Artist Regan Gentry: Funded through Wellington Sculpture Trust and NZTA. It comprises a replica of two walls of a heritage-style building,",1,No., ,0,0,, , , , , ,{A426BD72-66D8-4F5E-BF90-0CB88F4AB928}
174.768809,-41.28011563,97,0,P-Sculpture,PSCU, ,1428356,P0466,Botanical Gardens of Wellington,7003060,"Green Islands Sculpture (2008). Artist: Regan Gentry. 4 metal sculptures on zig zag path between rose garden and herb garden. consisting of wire flax, toe-toe, cabbage tree and pohutukawa.",4,No., ,0,0,, , , , , ,{76EADD99-D1FD-45EF-8AAB-E8890AC642DF}
174.8344646,-41.32202011,98,0,P-Mon.&Memorial-Other,PMME,10242004,P120807000126.0,P1208,Churchill Park and Play Area,7000126,5 metal (painted white Resene Sea Fog & red Resene Monza) cowl vents arranged around the perimeter of the memorial.,5,No., ,0,0,, , , , , ,{0FD57412-CAC8-48B6-98BD-3469EF5016A9}
174.8255404,-41.23127492,99,0,P-Mon.&Memorial-Memorial,PMME, ,1314247,P0637,Brandons Rock Inc Edgecombe St Play Area,7000116,Large rock on the hill above the play area. Access is up the reservoir driveway.,1,No., ,0,0,, , , , , ,{03F5A365-FB7B-4898-A915-C2E1C2D36997}
174.7704793,-41.30053971,100,0,P-Mon.&Memorial-Plaque,PMME, ,1296035,P1067,Nairn Street Park,7000153,"Metal plaque for Peter Harcourt - 1923 - 1995 Writer and broadcaster. He loved Wellington, his efforts helped save this park for our enjoyment.""",1,No., ,0,0,, , , , , ,{73605D62-93B1-45FE-B3AF-BE4CF7A7E609}
174.8281795,-41.15800562,101,0,P-Mon.&Memorial-Plaque,PMME, ,1311341,P1816,Tawa Cemetery,7000119,"Plaque in the bush area in the centre of the cemetery - ""Giving thanks to God, We remember the past Citizens of Tawa Combined Churches 28-10-1990""",1,No., ,0,0,, , , , , ,{C3DF5BF0-D4BB-4C89-AF8A-F03AEB987628}
174.7933502,-41.33826345,102,0,P-Sculpture,PSCU, ,1329428,P3347,Dorrie Leslie Park,7000125,"Moai statue overlooking the sea, and description plaque nearby.  Material: Hinuera Stone Artist: Tevo Pakarati. Protectosil Antigraffiti coating applied to statue. See photo for plaque detail, and attributes for other detail.",1,No., ,0,0,1899-12-30T00:00:00.000Z,Moai,Tevo Pakarati,2004, , ,{E7B10517-6335-48EE-AB85-582906C1351A}
174.7995523,-41.28860957,103,0,P-Sculpture,PSCU, ,1325291,P0410,Mt Victoria - Town Belt,7000377,Wellington Writers Walk - Large concrete typographic text sculpture on the bank behind the seats south of Raffaele's. Fiona Kidman and Barbara Anderson,1,No., ,0,0,, , , , , ,{4B1FC80D-FCE9-4A81-942A-68EE00BDA139}
174.7693373,-41.28100184,104,0,P-Sculpture,PSCU, ,1431897,P0466,Botanical Gardens of Wellington,7003066,Looking & Listening for the Sea (1992) Artist: Paul Dibble. Bronze sculpture on display inside the Begonia House. Donated by Sir Frank and Lady Nola Holmes.,1,No., ,0,0,, , , , , ,{D055BA34-0B5C-4BB0-9AD3-8CF723C3B294}
